,Unnamed: 0,_id,url,title,address,time_start,time_end,price_start,price_end,image,score_space,score_quality,score_price,score_service,score_location,total_score_comment_for_excellent,total_score_comment_for_good,total_score_comment_for_avg,total_score_comment_for_bad,avg_score_comment,title_first_chars
8436,8436,6469fb83b1064f9440f721e8,https://www.foody.vn/ha-noi/almaz-entertainment-kdt-vinhomes-riverside,"Almaz Entertainment - KĐT Vinhomes Riverside ở Quận Long Biên, Hà Nội | Foody.vn","KĐT sinh thái Vinhomes Riverside, Hoa Lan, P. Phúc Lợi Quận Long Biên Hà Nội",08:00,23:00,100.000đ ,500.000,['https://images.foody.vn/res/g21/208371/prof/s576x330/foody-mobile-171-jpg-730-635895765099009540.jpg'],['6.7'],['8.3'],['8.3'],['6.7'],['9.0'],0,3,0,0,7.8,Almaz Entertainment 
8437,8437,6469fb83b1064f9440f721e9,https://www.foody.vn/ha-noi/tiniworld-aeon-mall-long-bien,"TiNiWorld - AEON Mall Long Biên ở Quận Long Biên, Hà Nội | Foody.vn","Tầng 3, AEON Mall Long Biên, 27 Cổ Linh Quận Long Biên Hà Nội",09:00,21:30,20.000đ ,50.000,['https://images.foody.vn/res/g21/206385/prof/s576x330/foody-mobile-foody-mobile-tini1-j-381-635888853965394767.jpg'],['6.3'],['6.4'],['6.6'],['6.4'],['7.3'],2,3,0,2,6.6,TiNiWorld - AEON Mal
8438,8438,6469fb83b1064f9440f721ea,https://www.foody.vn/ha-noi/t-clb-vincom-nguyen-chi-thanh,"T-CLB - Vincom Nguyễn Chí Thanh ở Quận Đống Đa, Hà Nội | Foody.vn","Tầng 6, Vincom Nguyễn Chí Thanh, 54A Nguyễn Chí Thanh Quận Đống Đa Hà Nội",10:00,21:30,50.000đ ,150.000,['https://images.foody.vn/res/g30/296924/prof/s576x330/foody-mobile-tccl1-jpg-844-636154057702657622.jpg'],['7.0'],['8.0'],['8.0'],['8.0'],['8.0'],0,1,0,0,7.8,T-CLB - Vincom Nguyễ
8473,8473,6469fb83b1064f9440f7220d,https://www.foody.vn/ha-noi/pizza-hut-kim-ma/binh-luan-6897293,"Pizza Hut - Kim Mã ở Quận Ba Đình, Hà Nội | Bình luận - Nhân viên cứng nhắc | Hanh Do | Foody.vn",409 Kim Mã Quận Ba Đình Hà Nội,10:00,22:00,40.000đ ,165.000,['https://images.foody.vn/res/g4/35993/prof/s576x330/image-304e3c8e-230309173010.jpeg'],['6.5'],['7.0'],['7.2'],['6.8'],['7.5'],3,61,24,8,7.0,Pizza Hut - Kim Mã ở
8474,8474,6469fb83b1064f9440f7220e,https://www.foody.vn/ha-noi/chao-trai-tran-xuan-soan/binh-luan-7146442,"Cháo Trai - Quán cháo trai ngon ở Hà Nội ở Quận Hai Bà Trưng, Hà Nội | Bình luận - Cháo trai | Yến Nhi Vương | Foody.vn",26 Trần Xuân Soạn Quận Hai Bà Trưng Hà Nội,15:00,20:30,15.000đ ,28.000,[],['6.7'],['7.1'],['7.5'],['7.0'],['8.1'],4,66,22,2,7.3,Cháo Trai - Quán chá
8476,8476,6469fb83b1064f9440f72210,https://www.foody.vn/ha-noi/quan-ngon-co-dung-do-cuon-3-mien/binh-luan-3746022,"Quán Ngon Cô Dung - Đồ Cuốn 3 Miền ở Quận Hai Bà Trưng, Hà Nội | Bình luận - Đồ ăn của shop quá tệ! | foodee_xcl0vr2h | Foody.vn",46 Trần Xuân Soạn Quận Hai Bà Trưng Hà Nội,14:00,17:30,30.000đ ,55.000,[],['5.3'],['5.6'],['5.7'],['5.3'],['5.9'],0,11,9,10,5.5,Quán Ngon Cô Dung - 
8512,8512,6469fb83b1064f9440f72234,https://www.foody.vn/ha-noi/h2o-nuoc-mia-cot-dua/binh-luan-12875220,"H2O - Nước Mía Cốt Dừa - Tây Sơn ở Quận Đống Đa, Hà Nội | Bình luận - H2O - Nước Mía Cốt Dừa -*** | Sâu Béo | Foody.vn","176B Tây Sơn, P. Trung Liệt Quận Đống Đa Hà Nội",08:00,22:00,10.000đ ,12.000,['https://images.foody.vn/res/g75/743611/prof/s576x330/foody-upload-api-foody-mobile-mia-jpg-180524140220.jpg'],['5.8'],['7.4'],['7.5'],['6.9'],['7.6'],2,10,3,2,7.0,H2O - Nước Mía Cốt D
8516,8516,6469fb83b1064f9440f72238,https://www.foody.vn/ha-noi/the-firefly-gardenista/binh-luan-16627974,"The Firefly - Gardenista ở Quận Đống Đa, Hà Nội | Bình luận - The Firefly - Gardenista | Nhung Luu | Foody.vn","6 Ngõ 298 Tây Sơn, P. Trung Liệt Quận Đống Đa Hà Nội",08:00,23:30,30.000đ ,60.000,['https://images.foody.vn/res/g73/721265/prof/s576x330/foody-mobile-28279135_16070681726.jpg'],['6.6'],['7.3'],['8.0'],['6.9'],['8.2'],2,30,7,0,7.4,The Firefly - Garden
8518,8518,6469fb83b1064f9440f7223a,https://www.foody.vn/ha-noi/kfc-tay-son/binh-luan-14023007,"Gà Rán KFC - Tây Sơn ở Quận Đống Đa, Hà Nội | Bình luận - Rất không hài lòng… | Doan Lee | Foody.vn",292 Tây Sơn Quận Đống Đa Hà Nội,09:00,22:00,30.000đ ,88.000,['https://images.foody.vn/res/g1/6278/prof/s576x330/image-c2b9ea64-220812160709.jpg'],['6.4'],['6.7'],['6.9'],['6.6'],['7.2'],4,53,18,10,6.7,Gà Rán KFC - Tây Sơn
8519,8519,6469fb83b1064f9440f7223b,https://www.foody.vn/ha-noi/foglian-coffee/binh-luan-16324472,"Foglian Coffee - Nguyễn Văn Tuyết ở Quận Đống Đa, Hà Nội | Bình luận - View được | Linh Nguyễn | Foody.vn","56 Nguyễn Văn Tuyết, P. Ngã Tư Sở Quận Đống Đa Hà Nội",08:00,23:00,29.000đ ,62.000,['https://images.foody.vn/res/g80/790912/prof/s576x330/foody-upload-api-foody-mobile-avar-jpg-181204171035.jpg'],['6.9'],['7.5'],['7.7'],['7.2'],['8.6'],4,22,4,2,7.6,Foglian Coffee - Ngu
8520,8520,6469fb83b1064f9440f7223c,https://www.foody.vn/ha-noi/chao-trai-trung-vit-lon-van-chuong/binh-luan-2037096,"Cháo Trai & Trứng Vịt Lộn - Văn Chương ở Quận Đống Đa, Hà Nội | Bình luận - Cháo Trai & Trứng Vịt Lộn - Văn Chương | Việt Trinh Cao | Foody.vn","108H1 Văn Chương, P. Khâm Thiên Quận Đống Đa Hà Nội",14:30,18:00,10.000đ ,12.000,['https://images.foody.vn/res/g74/735035/prof/s576x330/foody-upload-api-foody-mobile-chao-trai-jpg-180423092810.jpg'],['8.0'],['9.0'],['9.0'],['9.0'],['9.5'],1,1,0,0,8.9,Cháo Trai & Trứng Vị
8562,8562,6469fb83b1064f9440f72266,https://www.foody.vn/ha-noi/kim-dung-chao-trai-banh-goi,"Kim Dung - Cháo Trai & Bánh Gối ở Quận Ba Đình, Hà Nội | Foody.vn",10 Tôn Thất Thiệp Quận Ba Đình Hà Nội,14:30,18:00,10.000đ ,15.000,['https://images.foody.vn/res/g88/871965/prof/s576x330/foody-upload-api-foody-mobile-kim-dung-2-jpg-181226114050.jpg'],['7.5'],['10.0'],['10.0'],['10.0'],['10.0'],2,0,0,0,9.5,Kim Dung - Cháo Trai
8604,8604,6469fb83b1064f9440f72290,https://www.foody.vn/ha-noi/cau-lac-bo-bong-ban/binh-luan,"Câu Lạc Bộ Bóng Bàn ở Huyện Đông Anh, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |Câu Lạc Bộ Bóng Bàn | Foody.vn",Tổ 8 Thị Trấn Chi Đông Huyện Đông Anh Hà Nội,08:00,22:00,50.000đ ,5.000.000,['https://images.foody.vn/res/g18/174152/prof/s576x330/foody-mobile-bongba-9461-13874368-785-635949526202126987.jpg'],[],[],[],[],[],0,0,0,0,0.0,Câu Lạc Bộ Bóng Bàn 
8610,8610,6469fb83b1064f9440f72296,https://www.foody.vn/ha-noi/cgv-artemis-tower,"CGV - Artemis Tower ở Quận Thanh Xuân, Hà Nội | Foody.vn","Tòa Nhà Artemis, 3 Lê Trọng Tấn Quận Thanh Xuân Hà Nội",08:30,23:59,80.000đ ,200.000,['https://images.foody.vn/res/g65/649785/prof/s576x330/foody-upload-api-foody-mobile-cgv-jpg-181221101817.jpg'],['7.0'],['7.3'],['7.4'],['7.0'],['7.5'],1,30,2,2,7.3,CGV - Artemis Tower 
8611,8611,6469fb83b1064f9440f72297,https://www.foody.vn/ha-noi/ding-tea-lac-trung,"Ding Tea - Lạc Trung ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","156 Lạc Trung, P. Thanh Lương Quận Hai Bà Trưng Hà Nội",08:00,23:00,25.000đ ,60.000,['https://images.foody.vn/res/g65/640729/prof/s576x330/image-9cbc6503-211223133154.jpeg'],['6.8'],['7.7'],['8.0'],['7.6'],['8.3'],4,6,1,1,7.7,Ding Tea - Lạc Trung
8631,8631,6469fb83b1064f9440f722ab,https://www.foody.vn/ha-noi/lucky-star-game-center-mipec-tower,"Lucky Star Game Center - Mipec Tower ở Quận Đống Đa, Hà Nội | Foody.vn","Tầng 4, Mipec Tower, 229 Tây Sơn Quận Đống Đa Hà Nội",09:00,22:00,30.000đ ,100.000,['https://images.foody.vn/res/g9/87800/prof/s576x330/foody-mobile-lsg1-jpg-635427645505517641.jpg'],['7.0'],['7.0'],['8.0'],['7.0'],['8.0'],0,1,0,0,7.4,Lucky Star Game Cent
8632,8632,6469fb83b1064f9440f722ac,https://www.foody.vn/ha-noi/khu-vui-choi-giai-tri-dreams-land-centerpoint,"Khu Vui Chơi Giải Trí Dreams Land - Centerpoint ở Quận Thanh Xuân, Hà Nội | Foody.vn","Tầng 3,  Tầng 3, TTTM Hà Nội Centerpoint, 85 Lê Văn Lương 
                                    ",09:00,21:30,50.000đ ,500.000,['https://images.foody.vn/res/g69/682763/prof/s576x330/foody-mobile-20375707_19512709784-834-636391780080501289.jpg'],['6.0'],['7.0'],['7.0'],['7.0'],['8.0'],0,1,0,0,7.0,Khu Vui Chơi Giải Tr
8633,8633,6469fb83b1064f9440f722ad,https://www.foody.vn/ha-noi/gaming-x-co-nhue,"Gaming X - Cổ Nhuế ở Quận Bắc Từ Liêm, Hà Nội | Foody.vn","521 Cổ Nhuế, P. Cổ Nhuế 2 Quận Bắc Từ Liêm Hà Nội",09:00,22:00,5.000đ ,20.000,['https://images.foody.vn/res/g104/1033645/prof/s576x330/foody-upload-api-foody-mobile-98287958_27491405686-200630175358.jpg'],['7.0'],['9.0'],['9.0'],['8.0'],['10.0'],0,1,0,0,8.6,Gaming X - Cổ Nhuế ở
8642,8642,6469fb83b1064f9440f722b6,https://www.foody.vn/ha-noi/rap-trung-tam-chieu-phim-quoc-gia,"Rạp Trung Tâm Chiếu Phim Quốc Gia ở Quận Ba Đình, Hà Nội | Foody.vn",87 Láng Hạ Quận Ba Đình Hà Nội,08:00,21:00,40.000đ ,150.000,['https://images.foody.vn/res/g12/111956/prof/s576x330/foody-mobile-pqg2-jpg-839-635560454649293747.jpg'],['6.8'],['7.1'],['7.6'],['7.1'],['7.8'],4,67,22,2,7.3,Rạp Trung Tâm Chiếu 
8643,8643,6469fb83b1064f9440f722b7,https://www.foody.vn/ha-noi/galaxy-cinema-mipec-long-bien,"Galaxy Cinema - MIPEC Long Biên ở Quận Long Biên, Hà Nội | Foody.vn","Tầng 6,  Tầng 6, Mipec Long Biên, 2 Long Biên 2, P. Ngọc Lâm 
                                    ",07:30,23:30,45.000đ ,120.000,['https://images.foody.vn/res/g27/262308/prof/s576x330/foody-mobile-foody-mobile-gala-jp-702-636160345829883648.jpg'],['6.9'],['7.7'],['7.7'],['7.6'],['7.9'],2,53,6,0,7.6,Galaxy Cinema - MIPE
8644,8644,6469fb83b1064f9440f722b8,https://www.foody.vn/ha-noi/galaxy-cinema-trang-thi,"Galaxy Cinema - Tràng Thi ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","Tầng 4,  Tầng 4 Trung Tâm Mua Sắm Nguyễn Kim, 10B Tràng Thi 
                                    ",09:00,23:59,50.000đ ,200.000,['https://images.foody.vn/res/g92/910946/prof/s576x330/foody-upload-api-foody-mobile-ghe-galaxy-min-190502104448.jpg'],['6.0'],['7.0'],['7.0'],['7.0'],['8.0'],0,1,0,0,7.0,Galaxy Cinema - Tràn
8646,8646,6469fb83b1064f9440f722ba,https://www.foody.vn/ha-noi/platinum-cineplex-the-garden,"Platinum Cineplex - The Garden ở Quận Nam Từ Liêm, Hà Nội | Foody.vn","Tầng 4, The Garden, Mễ Trì Quận Nam Từ Liêm Hà Nội",08:00,23:00,70.000đ ,200.000,['https://images.foody.vn/res/g9/85317/prof/s576x330/foody-mobile-platinum-cineplex-the-garden-ha-noi-140704053027.jpg'],['7.0'],['7.5'],['7.5'],['7.4'],['7.6'],0,26,3,1,7.4,Platinum Cineplex - 
8648,8648,6469fb83b1064f9440f722bc,https://www.foody.vn/ha-noi/city-cinema-6d-royal-city,"City Cinema 6D - Royal City ở Quận Thanh Xuân, Hà Nội | Foody.vn","Tầng B2, Royal City, 72A Nguyễn Trãi Quận Thanh Xuân Hà Nội",09:00,22:00,50.000đ ,200.000,['https://images.foody.vn/res/g9/85983/prof/s576x330/foody-mobile-city-cinema-6d-royal-city-ha-noi-140715105939.jpg'],['7.0'],['8.0'],['8.0'],['7.5'],['8.5'],0,2,0,0,7.8,City Cinema 6D - Roy
8649,8649,6469fb83b1064f9440f722bd,https://www.foody.vn/ha-noi/august-cinema-hang-bai,"August Cinema - Hàng Bài ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",43 Hàng Bài Quận Hoàn Kiếm Hà Nội,09:00,23:00,60.000đ ,150.000,['https://images.foody.vn/res/g10/96094/prof/s576x330/foody-mobile-rap2-jpg-635482075644086528.jpg'],['3.8'],['4.4'],['7.4'],['4.0'],['8.0'],0,2,1,2,5.5,August Cinema - Hàng
8650,8650,6469fb83b1064f9440f722be,https://www.foody.vn/ha-noi/rap-kim-dong-hang-bai,"Rạp Kim Đồng - Hàng Bài ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",19 Hàng Bài Quận Hoàn Kiếm Hà Nội,09:00,23:00,70.000đ ,150.000,['https://images.foody.vn/res/g14/133046/prof/s576x330/foody-mobile-kimdong-jpg-907-635663470193859858.jpg'],['6.2'],['6.5'],['7.5'],['6.3'],['8.2'],0,4,2,0,6.9,Rạp Kim Đồng - Hàng 
8651,8651,6469fb83b1064f9440f722bf,https://www.foody.vn/ha-noi/fafim-cinema-nguyen-trai,"FAFIM Cinema - Nguyễn Trãi ở Quận Thanh Xuân, Hà Nội | Foody.vn","19 Nguyễn Trãi, P. Khương Trung Quận Thanh Xuân Hà Nội",09:00,23:30,40.000đ ,130.000,['https://images.foody.vn/res/g18/175310/prof/s576x330/foody-mobile-ff4-jpg-745-635800033817214630.jpg'],['7.0'],['7.1'],['7.1'],['7.0'],['7.5'],1,13,7,1,7.1,FAFIM Cinema - Nguyễ
8681,8681,6469fb83b1064f9440f722dd,https://www.foody.vn/ha-noi/rap-chieu-phim-beta-cineplex-dan-phuong,"Rạp Chiếu Phim Beta Cineplex Đan Phượng ở Huyện Đan Phượng, Hà Nội | Foody.vn","Tầng 2,  Tầng 2, Tòa Nhà HHA, XPHomes, KĐT Tân Tây Đô 
                                    ",08:00,23:30,40.000đ ,80.000,['https://images.foody.vn/res/g73/720607/prof/s576x330/foody-mobile-3-32-jpg.jpg'],['8.0'],['9.0'],['9.0'],['8.0'],['9.0'],0,1,0,0,8.6,Rạp Chiếu Phim Beta 
8689,8689,6469fb83b1064f9440f722e5,https://www.foody.vn/ha-noi/cinema-thanh-giong/binh-luan,"Cinema Thánh Gióng ở Quận Hoàn Kiếm, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |Cinema Thánh Gióng | Foody.vn",7 Trần Phú Quận Hoàn Kiếm Hà Nội,08:00,22:00,50.000đ ,100.000,['https://images.foody.vn/res/g9/87448/prof/s576x330/foody-mobile-cinema-thanh-giong-ha-noi-140725030932.jpg'],[],[],[],[],[],0,0,0,0,0.0,Cinema Thánh Gióng ở
8701,8701,6469fb83b1064f9440f722f1,https://www.foody.vn/ha-noi/cgv-vincom-tran-duy-hung/binh-luan,"CGV - Vincom Trần Duy Hưng ở Quận Cầu Giấy, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |CGV - Vincom Trần Duy Hưng | Foody.vn",Tầng 5 TTTM Vincom D' Capitale Trần Duy Hưng Quận Cầu Giấy Hà Nội,08:00,22:00,45.000đ ,250.000,['https://images.foody.vn/res/g95/945838/prof/s576x330/foody-upload-api-foody-mobile-about-2-191219134801.jpg'],[],[],[],[],[],0,0,0,0,0.0,CGV - Vincom Trần Du
8702,8702,6469fb83b1064f9440f722f2,https://www.foody.vn/ha-noi/world-rider-4d-vincom-center-pham-ngoc-thach/binh-luan,"World Rider 4D - Vincom Center Phạm Ngọc Thạch ở Quận Đống Đa, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |World Rider 4D - Vincom Center Phạm ","Tầng 6, Vincom Center Phạm Ngọc Thạch, 2 Phạm Ngọc Thạch Quận Đống Đa Hà Nội",09:30,22:00,70.000đ ,150.000,['https://images.foody.vn/res/g30/293090/prof/s576x330/foody-mobile-combo-2-ve-xem-phim--234-636142834886912881.jpg'],[],[],[],[],[],0,0,0,0,0.0,World Rider 4D - Vin
8704,8704,6469fb83b1064f9440f722f4,https://www.foody.vn/ha-noi/lotte-cinema-kosmo-tay-ho/binh-luan,"Lotte Cinema - Kosmo Tây Hồ ở Quận Bắc Từ Liêm, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |Lotte Cinema - Kosmo Tây Hồ | Foody.vn","Tầng 2, Tòa Novo Kosmo Tây Hồ, 161 Xuân La, P. Xuân Tảo Quận Bắc Từ Liêm Hà Nội",08:00,22:00,79.000đ ,105.000,['https://images.foody.vn/res/g106/1051510/prof/s576x330/foody-upload-api-foody-mobile-foody-upload-api-foo-201016155710.jpg'],[],[],[],[],[],0,0,0,0,0.0,Lotte Cinema - Kosmo
8733,8733,6469fb83b1064f9440f72311,https://www.foody.vn/ha-noi/phong-chieu-phim-me-linh-plaza/binh-luan,"Phòng Chiếu Phim - Mê Linh Plaza ở Huyện Mê Linh, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |Phòng Chiếu Phim - Mê Linh Plaza | Foody.vn","Sảnh Mê Linh Plaza, Km8 Cao Tốc Thăng Long Nội Bài Huyện Mê Linh Hà Nội",07:00,23:30,50.000đ ,120.000,['https://images.foody.vn/res/g16/153702/prof/s576x330/foody-mobile-2-0d5f1-jpg-786-635808571405221367.jpg'],[],[],[],[],[],0,0,0,0,0.0,Phòng Chiếu Phim - M
8736,8736,6469fb83b1064f9440f72314,https://www.foody.vn/ha-noi/kid-s-playground-khu-vui-choi-tre-em-lotte-center/binh-luan,"Kid's Playground - Khu Vui Chơi Trẻ Em - Lotte Center ở Quận Ba Đình, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |Kid's Playground - Khu Vui Ch","  Tấng 5, Lotte Center, 54 Liễu Giai 
                                    ",08:30,21:30,50.000đ ,100.000,['https://images.foody.vn/res/g10/92019/prof/s576x330/foody-mobile-kp2-jpg-635463942328325678.jpg'],[],[],[],[],[],0,0,0,0,0.0,Kid's Playground - K
8738,8738,6469fb83b1064f9440f72316,https://www.foody.vn/ha-noi/golf-zon-keangnam-landmark/binh-luan,"Golf Zon - Keangnam Landmark ở Quận Nam Từ Liêm, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |Golf Zon - Keangnam Landmark | Foody.vn","Tầng 6, Keangnam Landmark, 72 Phạm Hùng Quận Nam Từ Liêm Hà Nội",09:00,23:59,50.000đ ,500.000,['https://images.foody.vn/res/g76/753119/prof/s576x330/foody-upload-api-foody-mobile-golf-jpg-180625110207.jpg'],[],[],[],[],[],0,0,0,0,0.0,Golf Zon - Keangnam 
8739,8739,6469fb83b1064f9440f72317,https://www.foody.vn/ha-noi/bao-tang-my-thuat-viet-nam-nguyen-thai-hoc,"Bảo Tàng Mỹ Thuật Việt Nam - Nguyễn Thái Học ở Quận Đống Đa, Hà Nội | Foody.vn",66 Nguyễn Thái Học Quận Đống Đa Hà Nội,07:00,17:00,15.000đ ,30.000,['https://images.foody.vn/res/g17/166829/prof/s576x330/foody-mobile-bao-tang-jpg-362-635778289690108088.jpg'],['6.7'],['8.0'],['8.3'],['7.7'],['9.0'],0,3,0,0,7.9,Bảo Tàng Mỹ Thuật Vi
8740,8740,6469fb83b1064f9440f72318,https://www.foody.vn/ha-noi/lizzy-house-cafe-meo,"Lizzy House - Cafe Mèo ở Quận Đống Đa, Hà Nội | Foody.vn",160 Ngõ 360 Xã Đàn Quận Đống Đa Hà Nội,08:00,22:00,30.000đ ,60.000,['https://images.foody.vn/res/g100/999434/prof/s576x330/foody-upload-api-foody-mobile-73375430_71924680520-200204151430.jpg'],['3.0'],['7.0'],['7.0'],['4.0'],['9.0'],0,0,1,0,6.0,Lizzy House - Cafe M
8742,8742,6469fb83b1064f9440f7231a,https://www.foody.vn/ha-noi/salt-n-lime-am-thuc-mexico,"Salt N' Lime - Ẩm Thực Mexico ở Quận Tây Hồ, Hà Nội | Foody.vn","12 Từ Hoa Công Chúa, P. Quảng An Quận Tây Hồ Hà Nội",09:00,22:00,100.000đ ,1.000.000,['https://images.foody.vn/res/g11/100588/prof/s576x330/foody-mobile-salt-jpg-371-636141973884673492.jpg'],['7.5'],['7.7'],['7.8'],['7.5'],['8.1'],1,12,1,1,7.7,Salt N' Lime - Ẩm Th
8744,8744,6469fb83b1064f9440f7231c,https://www.foody.vn/ha-noi/hoa-qua-dam-hoa-beo-to-tich,"Hoa Quả Dầm Hoa Béo - Tô Tịch ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",17 Tô Tịch Quận Hoàn Kiếm Hà Nội,08:30,22:30,20.000đ ,50.000,['https://images.foody.vn/res/g12/115225/prof/s576x330/foody-upload-api-foody-mobile-hoa-qua-jpg-180830152818.jpg'],['6.3'],['6.9'],['7.1'],['6.8'],['7.1'],2,55,38,6,6.8,Hoa Quả Dầm Hoa Béo 
8745,8745,6469fb83b1064f9440f7231d,https://www.foody.vn/ha-noi/uncle-tea-tra-dai-loan-ho-tung-mau,"Uncle Tea - Trà Đài Loan - Hồ Tùng Mậu ở Quận Cầu Giấy, Hà Nội | Foody.vn",2 Hồ Tùng Mậu Quận Cầu Giấy Hà Nội,09:00,23:00,30.000đ ,70.000,[],['6.7'],['7.2'],['7.2'],['6.8'],['7.6'],9,15,10,4,7.1,Uncle Tea - Trà Đài 
8746,8746,6469fb83b1064f9440f7231e,https://www.foody.vn/ha-noi/playtime-kids-club-mipec-tower/binh-luan,"Playtime Kids Club - Mipec Tower ở Quận Đống Đa, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |Playtime Kids Club - Mipec Tower | Foody.vn","Tầng 4,  Tầng 4, Mipec Tower, 229 Tây Sơn 
                                    ",08:00,22:00,40.000đ ,70.000,['https://images.foody.vn/res/g72/717948/prof/s576x330/foody-mobile-22540241_52581687109.jpg'],[],[],[],[],[],0,0,0,0,0.0,Playtime Kids Club -
8747,8747,6469fb83b1064f9440f7231f,https://www.foody.vn/ha-noi/star-game-coopmart-truong-dinh/binh-luan,"Star Game - Co.opmart Trương Định ở Quận Hoàng Mai, Hà Nội | Bình Luận, Review, Nhận xét, Kinh nghiệm |Star Game - Co.opMart Trương Định | Foody.vn","Tầng 4, Co.opMart, 609 Trương Định Quận Hoàng Mai Hà Nội",08:00,22:00,50.000đ ,200.000,['https://images.foody.vn/res/g9/86510/prof/s576x330/foody-mobile-stargame1-jpg-635424135818561085.jpg'],[],[],[],[],[],0,0,0,0,0.0,Star Game - Co.opmar
8782,8782,6469fb83b1064f9440f72342,https://www.foody.vn/ha-noi/1965-singapore-street-food-artemis-tower,"1965 - Singapore Street Food - Artemis Tower ở Quận Thanh Xuân, Hà Nội | Foody.vn","Tầng 5, Tòa Nhà Artemis, 3 Lê Trọng Tấn Quận Thanh Xuân Hà Nội",09:00,22:00,40.000đ ,250.000,['https://images.foody.vn/res/g66/659823/prof/s576x330/foody-mobile-13567315_10534961113-746-636306226533342526.jpg'],['7.0'],['7.3'],['7.7'],['7.3'],['7.7'],0,3,0,0,7.4,1965 - Singapore Str
8798,8798,6469fb83b1064f9440f72352,https://www.foody.vn/ha-noi/bao-tang-dan-toc-hoc-viet-nam-nguyen-van-huyen,"Bảo Tàng Dân Tộc Học Việt Nam - Nguyễn Văn Huyên ở Quận Cầu Giấy, Hà Nội | Foody.vn","Nguyễn Văn Huyên, P. Nghĩa Đô Quận Cầu Giấy Hà Nội",09:00,16:00,50.000đ ,100.000,['https://images.foody.vn/res/g14/137976/prof/s576x330/foody-mobile-2-jpg-291-635678230449369657.jpg'],['7.2'],['7.8'],['8.4'],['7.4'],['8.6'],0,5,0,0,7.9,Bảo Tàng Dân Tộc Học
8799,8799,6469fb83b1064f9440f72353,https://www.foody.vn/ha-noi/thanh-co-loa,"Thành Cổ Loa ở Huyện Đông Anh, Hà Nội | Foody.vn","Cổ Loa, Xã Cổ Loa Huyện Đông Anh Hà Nội",06:30,18:00,10.000đ ,10.000,['https://images.foody.vn/res/g18/178862/prof/s576x330/foody-mobile-co-loa1-jpg-150-635812156756757343.jpg'],['6.7'],['8.0'],['8.3'],['7.3'],['8.3'],0,3,0,0,7.7,Thành Cổ Loa ở Huyện
8800,8800,6469fb83b1064f9440f72354,https://www.foody.vn/ha-noi/den-ngoc-son,"Đền Ngọc Sơn ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","Đinh Tiên Hoàng, P. Hàng Trống Quận Hoàn Kiếm Hà Nội",07:00,18:00,15.000đ ,30.000,['https://images.foody.vn/res/g28/272663/prof/s576x330/foody-mobile-den-jpg-426-636086903653941073.jpg'],['7.3'],['8.0'],['8.0'],['7.7'],['8.3'],0,3,0,0,7.9,Đền Ngọc Sơn ở Quận 
8801,8801,6469fb83b1064f9440f72355,https://www.foody.vn/ha-noi/khu-di-tich-nha-tu-hoa-lo,"Khu Di Tích Nhà Tù Hỏa Lò - Di Tích Chiến Tranh ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","1 Hỏa Lò, P. Trần Hưng Đạo Quận Hoàn Kiếm Hà Nội",08:00,17:00,50.000đ ,110.000,['https://images.foody.vn/res/g5/41729/prof/s576x330/foody-mobile-khu-di-tich-nha-tu-hoa-lo-ha-noi-131017014732.jpg'],['7.7'],['8.0'],['8.2'],['8.0'],['8.5'],3,7,1,0,8.1,Khu Di Tích Nhà Tù H
8802,8802,6469fb83b1064f9440f72356,https://www.foody.vn/ha-noi/hoang-thanh-thang-long-hoang-dieu,"Hoàng Thành Thăng Long - Hoàng Diệu ở Quận Ba Đình, Hà Nội | Foody.vn",18 Hoàng Diệu  Quận Ba Đình Hà Nội,08:00,18:00,10.000đ ,50.000,['https://images.foody.vn/res/g18/173725/prof/s576x330/foody-mobile-httl-jpg-817-635798275094277871.jpg'],['7.6'],['8.3'],['8.8'],['7.8'],['8.8'],3,9,0,0,8.2,Hoàng Thành Thăng Lo
8803,8803,6469fb83b1064f9440f72357,https://www.foody.vn/ha-noi/alive-museum-keangnam-landmark,"Alive Museum - Keangnam Landmark ở Quận Cầu Giấy, Hà Nội | Foody.vn","Tầng 72, Keangnam Landmark, 72 Phạm Hùng Quận Cầu Giấy Hà Nội",10:00,22:00,100.000đ ,300.000,['https://images.foody.vn/res/g17/168174/prof/s576x330/foody-mobile-65767-jpg-283-635779308400289357.jpg'],['6.0'],['7.0'],['8.0'],['7.0'],['8.0'],0,1,0,0,7.2,Alive Museum - Keang
